City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Waingapu,ID,-9.6567,120.2641,78.57,88,100,15.61,heavy intensity rain
319,Osakarovka,KZ,50.565,72.5692,24.3,78,75,9.28,broken clouds
320,Saint-Francois,FR,46.4154,3.9054,42.01,75,0,8.05,clear sky
321,Taltal,CL,-25.4,-70.4833,64.49,83,74,2.15,broken clouds
322,Namatanai,PG,-3.6667,152.4333,85.96,61,98,1.72,overcast clouds
323,Chokurdakh,RU,70.6333,147.9167,-7.26,95,58,5.19,broken clouds
324,Malakal,SS,9.5334,31.6605,87.48,16,17,9.93,few clouds
325,Ostrovnoy,RU,68.0531,39.5131,21.58,92,86,13.49,overcast clouds
326,Shache,CN,38.4167,77.2406,42.85,57,32,3.69,scattered clouds
327,Bongandanga,CD,1.5,21.05,69.91,96,95,2.3,overcast clouds
328,Tilichiki,RU,60.4667,166.1,8.46,79,20,6.55,few clouds
329,Maningrida,AU,-12.0667,134.2667,80.47,75,100,8.48,overcast clouds
330,Ha Tinh,VN,18.3333,105.9,76.05,84,77,2.01,broken clouds
331,Cabo San Lucas,MX,22.8909,-109.9124,86.0,26,40,6.91,scattered clouds
332,Guaruja,BR,-23.9931,-46.2564,78.01,26,31,4.41,scattered clouds
333,Bollnas,SE,61.3482,16.3946,37.99,61,61,6.6,broken clouds
334,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,90,5.75,overcast clouds
335,Yeppoon,AU,-23.1333,150.7333,75.2,83,90,6.91,overcast clouds
336,Manggar,ID,-2.8833,108.2667,80.47,80,80,5.32,broken clouds
337,Novoilinsk,RU,51.6829,108.7143,33.87,55,36,3.74,scattered clouds
338,Forestville,US,38.8451,-76.875,50.0,27,1,4.61,clear sky
339,Makakilo City,US,21.3469,-158.0858,82.4,47,20,9.22,few clouds
340,Klaksvik,FO,62.2266,-6.589,44.6,81,75,27.63,broken clouds
341,Ocean City,US,39.2776,-74.5746,48.2,27,1,4.61,clear sky
342,Saint George,US,37.1041,-113.5841,87.01,10,1,10.36,clear sky
343,Glendive,US,47.1053,-104.7125,73.99,14,1,11.5,clear sky
344,Morehead,US,37.2711,-87.1764,60.8,21,1,5.75,clear sky
345,Benjamin Hill,MX,30.1667,-111.1,93.99,15,0,7.0,clear sky
346,Paciran,ID,-6.8767,112.3761,80.56,81,89,6.91,overcast clouds
347,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.0,73,10,2.37,clear sky
