City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Abu Zabad,SD,75.85,few clouds,12.35,29.25,حامد محمد نور
638,Visakhapatnam,IN,78.87,clear sky,17.69,83.2093,Best Western Ramachandra Hotel
640,Kandrian,PG,85.17,light rain,-6.2167,149.55,Kandrian Station
641,Ayorou,NE,79.32,clear sky,14.7308,0.9174,Hotel Amenokal
645,Santa Ana,US,77.0,few clouds,33.7456,-117.8678,Santa Ana Travel Inn
650,Yaan,NG,83.79,broken clouds,7.3833,8.5667,
653,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
654,Lanas,PH,81.9,few clouds,12.0495,121.9185,Carabao Guesthouse
655,Ahome,MX,84.2,clear sky,25.9167,-109.1833,Rancho El Sauce y la Palma
659,Berbera,SO,76.93,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
664,Bintulu,MY,78.8,few clouds,3.1667,113.0333,900 Boutique INN
668,Guanaja,HN,80.01,broken clouds,16.4,-85.9,Hotel Dunbar Rock Guanaja Honduras
670,Tabou,CI,78.87,scattered clouds,4.423,-7.3528,hotêl doufoulougou
673,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
674,Kota Bahru,MY,80.6,few clouds,6.1333,102.2386,Grand Riverview Hotel
677,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
686,Cam Ranh,VN,80.6,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
688,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
